Team Number,QT #1,QT #2,QT #3
524,Register 1st Play,available after 1st play registration,available after 2nd play registration
596,Register 1st Play,available after 1st play registration,available after 2nd play registration
3470,,,
3791,,,
4345,,,
4475,,,
4943,,,
4950,Register 1st Play,available after 1st play registration,available after 2nd play registration
4998,,,
5206,,,
5214,,,
5773,Register 1st Play,available after 1st play registration,available after 2nd play registration
6038,Register 1st Play,available after 1st play registration,available after 2nd play registration
6165,Register 1st Play,available after 1st play registration,available after 2nd play registration
6286,,,
6949,,,
7128,Register 1st Play,available after 1st play registration,available after 2nd play registration
7175,Register 1st Play,available after 1st play registration,available after 2nd play registration
7303,SJ_1,Register 2nd Play,available after 2nd play registration
7316,Register 1st Play,available after 1st play registration,available after 2nd play registration
7390,,,
7593,,,
7610,Register 1st Play,available after 1st play registration,available after 2nd play registration
7641,,,
7854,,,
8367,,,
8375,Register 1st Play,available after 1st play registration,available after 2nd play registration
8381,,,
8404,,,
8625,,,
8872,Register 1st Play,available after 1st play registration,available after 2nd play registration
9448,Register 1st Play,available after 1st play registration,available after 2nd play registration
9614,Register 1st Play,available after 1st play registration,available after 2nd play registration
9656,Register 1st Play,available after 1st play registration,available after 2nd play registration
9657,Register 1st Play,available after 1st play registration,available after 2nd play registration
9784,Register 1st Play,available after 1st play registration,available after 2nd play registration
10023,Register 1st Play,available after 1st play registration,available after 2nd play registration
11039,Register 1st Play,available after 1st play registration,available after 2nd play registration
11099,Register 1st Play,available after 1st play registration,available after 2nd play registration
11201,Register 1st Play,available after 1st play registration,available after 2nd play registration
11311,Register 1st Play,available after 1st play registration,available after 2nd play registration
11898,Register 1st Play,available after 1st play registration,available after 2nd play registration
11920,,,
12492,,,
12516,,,
12635,Register 1st Play,available after 1st play registration,available after 2nd play registration
12804,Register 1st Play,available after 1st play registration,available after 2nd play registration
12869,SJ_1,Register 2nd Play,available after 2nd play registration
13050,Register 1st Play,available after 1st play registration,available after 2nd play registration
13190,,,
13215,Register 1st Play,available after 1st play registration,available after 2nd play registration
13216,Register 1st Play,available after 1st play registration,available after 2nd play registration
13217,Register 1st Play,available after 1st play registration,available after 2nd play registration
13218,Register 1st Play,available after 1st play registration,available after 2nd play registration
13219,Register 1st Play,available after 1st play registration,available after 2nd play registration
13223,Register 1st Play,available after 1st play registration,available after 2nd play registration
13274,Register 1st Play,available after 1st play registration,available after 2nd play registration
13356,SJ_1,Register 2nd Play,available after 2nd play registration
13981,Register 1st Play,available after 1st play registration,available after 2nd play registration
14087,Register 1st Play,available after 1st play registration,available after 2nd play registration
14259,,,
14298,Register 1st Play,available after 1st play registration,available after 2nd play registration
14300,SJ_1,Register 2nd Play,available after 2nd play registration
14318,Register 1st Play,available after 1st play registration,available after 2nd play registration
14323,Register 1st Play,available after 1st play registration,available after 2nd play registration
14473,Register 1st Play,available after 1st play registration,available after 2nd play registration
14493,,,
14525,Register 1st Play,available after 1st play registration,available after 2nd play registration
14770,,,
14969,,,
15034,Register 1st Play,available after 1st play registration,available after 2nd play registration
15385,,,
15453,Register 1st Play,available after 1st play registration,available after 2nd play registration
16026,Register 1st Play,available after 1st play registration,available after 2nd play registration
16177,Register 1st Play,available after 1st play registration,available after 2nd play registration
16236,Register 1st Play,available after 1st play registration,available after 2nd play registration
16276,Register 1st Play,available after 1st play registration,available after 2nd play registration
16283,Register 1st Play,available after 1st play registration,available after 2nd play registration
16306,Register 1st Play,available after 1st play registration,available after 2nd play registration
16481,,,
16532,Register 1st Play,available after 1st play registration,available after 2nd play registration
16533,SJ_1,Register 2nd Play,available after 2nd play registration
16688,,,
16886,Register 1st Play,available after 1st play registration,available after 2nd play registration
16887,Register 1st Play,available after 1st play registration,available after 2nd play registration
16898,Register 1st Play,available after 1st play registration,available after 2nd play registration
16944,,,
17094,Register 1st Play,available after 1st play registration,available after 2nd play registration
17835,,,
18133,Register 1st Play,available after 1st play registration,available after 2nd play registration
18134,Register 1st Play,available after 1st play registration,available after 2nd play registration
18233,,,
18247,Register 1st Play,available after 1st play registration,available after 2nd play registration
18271,Register 1st Play,available after 1st play registration,available after 2nd play registration
18309,Register 1st Play,available after 1st play registration,available after 2nd play registration
18340,,,
18373,Register 1st Play,available after 1st play registration,available after 2nd play registration
18466,Register 1st Play,available after 1st play registration,available after 2nd play registration
18504,Register 1st Play,available after 1st play registration,available after 2nd play registration
18715,Register 1st Play,available after 1st play registration,available after 2nd play registration
19505,Register 1st Play,available after 1st play registration,available after 2nd play registration
19514,Register 1st Play,available after 1st play registration,available after 2nd play registration
19631,Register 1st Play,available after 1st play registration,available after 2nd play registration
19655,Register 1st Play,available after 1st play registration,available after 2nd play registration
19727,,,
19752,Register 1st Play,available after 1st play registration,available after 2nd play registration
19819,Register 1st Play,available after 1st play registration,available after 2nd play registration
19862,Register 1st Play,available after 1st play registration,available after 2nd play registration
19896,Register 1st Play,available after 1st play registration,available after 2nd play registration
20163,Register 1st Play,available after 1st play registration,available after 2nd play registration
20326,,,
20366,,,
20367,Register 1st Play,available after 1st play registration,available after 2nd play registration
20368,,,
20370,,,
20373,Register 1st Play,available after 1st play registration,available after 2nd play registration
20383,SJ_1,Register 2nd Play,available after 2nd play registration
20392,Register 1st Play,available after 1st play registration,available after 2nd play registration
20405,,,
20720,Register 1st Play,available after 1st play registration,available after 2nd play registration
20791,SJ_1,Register 2nd Play,available after 2nd play registration
21027,,,
21227,Register 1st Play,available after 1st play registration,available after 2nd play registration
21316,Register 1st Play,available after 1st play registration,available after 2nd play registration
21326,,,
21366,,,
21376,Register 1st Play,available after 1st play registration,available after 2nd play registration
21402,Register 1st Play,available after 1st play registration,available after 2nd play registration
21419,Register 1st Play,available after 1st play registration,available after 2nd play registration
21454,Register 1st Play,available after 1st play registration,available after 2nd play registration
21463,Register 1st Play,available after 1st play registration,available after 2nd play registration
21483,,,
21516,Register 1st Play,available after 1st play registration,available after 2nd play registration
21626,Register 1st Play,available after 1st play registration,available after 2nd play registration
21663,Register 1st Play,available after 1st play registration,available after 2nd play registration
21776,,,
21781,,,
21812,,,
21885,SJ_1,Register 2nd Play,available after 2nd play registration
21925,Register 1st Play,available after 1st play registration,available after 2nd play registration
21964,,,
21979,Register 1st Play,available after 1st play registration,available after 2nd play registration
22047,,,
22079,Register 1st Play,available after 1st play registration,available after 2nd play registration
22100,Register 1st Play,available after 1st play registration,available after 2nd play registration
22297,Register 1st Play,available after 1st play registration,available after 2nd play registration
22330,Register 1st Play,available after 1st play registration,available after 2nd play registration
